"content_id","title","description","total_seasons","imdb_score","release_dates","play_time","content_rating","total_episodes","content_type","imdb_link","last_updated","imdb_score_votes","rating_details","languages"
51,"It's Always Sunny in Philadelphia","Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish bar in Philadelphia.",12,"8.8","2005–","22min",6,133,1,"http://www.imdb.com/title/tt0472954/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_59","2017-12-20 12:17:46.457397",153199,"{'total_votes': 153199, 'females': {'aged_under_18': {'total_votes': 31, 'rating': 9.0}, 'all_votes': {'total_votes': 21627, 'rating': 8.4}, 'aged_30_44': {'total_votes': 8397, 'rating': 8.3}, 'aged_18_29': {'total_votes': 10794, 'rating': 8.6}, 'aged_over_45': {'total_votes': 1274, 'rating': 7.2}}, 'rating_page_link': 'http://www.imdb.com/title/tt0472954/ratings?ref_=tt_ov_rt', 'all_genders': {'aged_under_18': {'total_votes': 236, 'rating': 8.6}, 'all_votes': {'total_votes': 153199, 'rating': 8.8}, 'aged_30_44': {'total_votes': 53503, 'rating': 8.7}, 'aged_18_29': {'total_votes': 58171, 'rating': 8.9}, 'aged_over_45': {'total_votes': 6833, 'rating': 7.8}}, 'males': {'aged_under_18': {'total_votes': 202, 'rating': 8.5}, 'all_votes': {'total_votes': 102342, 'rating': 8.8}, 'aged_30_44': {'total_votes': 44594, 'rating': 8.8}, 'aged_18_29': {'total_votes': 46888, 'rating': 9.0}, 'aged_over_45': {'total_votes': 5432, 'rating': 7.9}}, 'votes_per_ratings': {'2': 937, '8': 20179, '4': 1273, '7': 9733, '5': 2271, '3': 1042, '6': 4201, '1': 5095, '10': 72995, '9': 35473}}","['English']"
52,"The West Wing","Inside the lives of staffers in the West Wing of the White House.",7,"8.8","1999–2006","44min",5,155,1,"http://www.imdb.com/title/tt0200276/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_61","2017-12-20 12:18:20.443479",50216,"{'total_votes': 50216, 'females': {'aged_under_18': {'total_votes': 7, 'rating': 9.8}, 'all_votes': {'total_votes': 9654, 'rating': 8.8}, 'aged_30_44': {'total_votes': 4603, 'rating': 8.7}, 'aged_18_29': {'total_votes': 2199, 'rating': 8.8}, 'aged_over_45': {'total_votes': 2343, 'rating': 8.9}}, 'rating_page_link': 'http://www.imdb.com/title/tt0200276/ratings?ref_=tt_ov_rt', 'all_genders': {'aged_under_18': {'total_votes': 59, 'rating': 8.3}, 'all_votes': {'total_votes': 50216, 'rating': 8.8}, 'aged_30_44': {'total_votes': 21174, 'rating': 8.8}, 'aged_18_29': {'total_votes': 8902, 'rating': 8.8}, 'aged_over_45': {'total_votes': 8782, 'rating': 8.7}}, 'males': {'aged_under_18': {'total_votes': 52, 'rating': 8.2}, 'all_votes': {'total_votes': 30785, 'rating': 8.8}, 'aged_30_44': {'total_votes': 16300, 'rating': 8.8}, 'aged_18_29': {'total_votes': 6610, 'rating': 8.8}, 'aged_over_45': {'total_votes': 6314, 'rating': 8.7}}, 'votes_per_ratings': {'2': 368, '8': 6491, '4': 340, '7': 2773, '5': 625, '3': 294, '6': 1145, '1': 1359, '10': 24219, '9': 12602}}","['English']"
42,"Monty Python's Flying Circus","The original surreal sketch comedy showcase for the Monty Python troupe.",4,"8.9","1969–1974","30min",5,45,1,"http://www.imdb.com/title/tt0063929/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_30","2017-12-20 12:07:27.876776",51183,"{'total_votes': 51183, 'females': {'aged_18_29': {'total_votes': 2650, 'rating': 9.0}, 'all_votes': {'total_votes': 6674, 'rating': 8.9}, 'aged_30_44': {'total_votes': 2740, 'rating': 8.9}, 'aged_under_18': {'total_votes': 13, 'rating': 9.3}, 'aged_over_45': {'total_votes': 1057, 'rating': 8.8}}, 'votes_per_ratings': {'2': 236, '8': 7235, '4': 284, '5': 538, '9': 13200, '1': 4961, '6': 1008, '7': 2915, '10': 20581, '3': 225}, 'all_genders': {'aged_18_29': {'total_votes': 15320, 'rating': 8.9}, 'all_votes': {'total_votes': 51183, 'rating': 8.9}, 'aged_30_44': {'total_votes': 18593, 'rating': 8.9}, 'aged_under_18': {'total_votes': 100, 'rating': 8.8}, 'aged_over_45': {'total_votes': 7226, 'rating': 8.9}}, 'males': {'aged_18_29': {'total_votes': 12525, 'rating': 8.8}, 'all_votes': {'total_votes': 35455, 'rating': 8.9}, 'aged_30_44': {'total_votes': 15657, 'rating': 9.0}, 'aged_under_18': {'total_votes': 87, 'rating': 8.7}, 'aged_over_45': {'total_votes': 6061, 'rating': 8.9}}, 'rating_page_link': 'http://www.imdb.com/title/tt0063929/ratings?ref_=tt_ov_rt'}","['English', 'Arabic', 'French', 'German', 'Italian', 'Mandarin', 'Spanish']"
53,"TVF Pitchers","A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.",1,"9.3","2015–","40min",6,5,1,"http://www.imdb.com/title/tt4742876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_40","2017-12-20 12:30:12.653624",38658,"{'total_votes': 38658, 'females': {'all_votes': {'total_votes': 973, 'rating': 8.1}, 'aged_18_29': {'total_votes': 659, 'rating': 8.7}, 'aged_under_18': {'total_votes': 4, 'rating': 9.8}, 'aged_30_44': {'total_votes': 182, 'rating': 7.2}, 'aged_over_45': {'total_votes': 19, 'rating': 3.9}}, 'votes_per_ratings': {'2': 88, '8': 2315, '4': 68, '5': 126, '9': 6779, '1': 799, '6': 227, '7': 768, '10': 27428, '3': 60}, 'all_genders': {'all_votes': {'total_votes': 38658, 'rating': 9.3}, 'aged_18_29': {'total_votes': 17821, 'rating': 9.4}, 'aged_under_18': {'total_votes': 141, 'rating': 9.3}, 'aged_30_44': {'total_votes': 3475, 'rating': 8.5}, 'aged_over_45': {'total_votes': 173, 'rating': 5.0}}, 'males': {'all_votes': {'total_votes': 23103, 'rating': 9.3}, 'aged_18_29': {'total_votes': 17124, 'rating': 9.4}, 'aged_under_18': {'total_votes': 137, 'rating': 9.3}, 'aged_30_44': {'total_votes': 3275, 'rating': 8.6}, 'aged_over_45': {'total_votes': 149, 'rating': 5.0}}, 'rating_page_link': 'http://www.imdb.com/title/tt4742876/ratings?ref_=tt_ov_rt'}","['Hindi', 'English']"
54,"Gravity Falls","Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls.",2,"8.9","2012–2016","23min",2,40,1,"http://www.imdb.com/title/tt1865718/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_48","2017-12-20 12:30:18.881446",37379,"{'total_votes': 37379, 'females': {'all_votes': {'total_votes': 6180, 'rating': 9.0}, 'aged_18_29': {'total_votes': 4024, 'rating': 9.1}, 'aged_under_18': {'total_votes': 231, 'rating': 9.1}, 'aged_30_44': {'total_votes': 1033, 'rating': 8.9}, 'aged_over_45': {'total_votes': 254, 'rating': 8.2}}, 'votes_per_ratings': {'2': 133, '8': 5265, '4': 169, '5': 308, '9': 9766, '1': 841, '6': 753, '7': 1905, '10': 18115, '3': 124}, 'all_genders': {'all_votes': {'total_votes': 37379, 'rating': 8.9}, 'aged_18_29': {'total_votes': 15388, 'rating': 9.0}, 'aged_under_18': {'total_votes': 875, 'rating': 8.9}, 'aged_30_44': {'total_votes': 5394, 'rating': 8.6}, 'aged_over_45': {'total_votes': 1112, 'rating': 7.9}}, 'males': {'all_votes': {'total_votes': 18905, 'rating': 8.8}, 'aged_18_29': {'total_votes': 11179, 'rating': 9.0}, 'aged_under_18': {'total_votes': 635, 'rating': 8.9}, 'aged_30_44': {'total_votes': 4294, 'rating': 8.6}, 'aged_over_45': {'total_votes': 835, 'rating': 7.9}}, 'rating_page_link': 'http://www.imdb.com/title/tt1865718/ratings?ref_=tt_ov_rt'}","['English']"
55,"The Simpsons","The satiric adventures of a working-class family in the misfit city of Springfield.",29,"8.8","1989–","22min",5,636,1,"http://www.imdb.com/title/tt0096697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_54","2017-12-20 12:30:29.179876",302266,"{'total_votes': 302266, 'females': {'all_votes': {'total_votes': 44296, 'rating': 8.6}, 'aged_18_29': {'total_votes': 24634, 'rating': 8.7}, 'aged_under_18': {'total_votes': 275, 'rating': 8.7}, 'aged_30_44': {'total_votes': 14716, 'rating': 8.6}, 'aged_over_45': {'total_votes': 2377, 'rating': 7.9}}, 'votes_per_ratings': {'2': 975, '8': 54807, '4': 1851, '5': 4131, '9': 77351, '1': 4573, '6': 9384, '7': 26183, '10': 121781, '3': 1230}, 'all_genders': {'all_votes': {'total_votes': 302266, 'rating': 8.8}, 'aged_18_29': {'total_votes': 121258, 'rating': 8.8}, 'aged_under_18': {'total_votes': 1477, 'rating': 8.7}, 'aged_30_44': {'total_votes': 98929, 'rating': 8.8}, 'aged_over_45': {'total_votes': 14630, 'rating': 8.4}}, 'males': {'all_votes': {'total_votes': 202966, 'rating': 8.8}, 'aged_18_29': {'total_votes': 95605, 'rating': 8.8}, 'aged_under_18': {'total_votes': 1190, 'rating': 8.7}, 'aged_30_44': {'total_votes': 83197, 'rating': 8.9}, 'aged_over_45': {'total_votes': 12010, 'rating': 8.5}}, 'rating_page_link': 'http://www.imdb.com/title/tt0096697/ratings?ref_=tt_ov_rt'}","['English', 'Spanish', 'Albanian', 'French', 'Japanese', 'German', 'Russian', 'Hindi', 'Swahili', 'Italian', 'Swedish', 'Turkish', 'Cantonese', 'Mandarin', 'Hebrew', 'Arabic', 'Klingon', 'Bengali', 'Czech']"
56,"House of Cards","A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.",5,"8.9","2013–","51min",6,65,1,"http://www.imdb.com/title/tt1856010/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_36","2017-12-20 12:50:09.411909",386694,"{'total_votes': 386694, 'females': {'aged_18_29': {'total_votes': 21329, 'rating': 8.9}, 'aged_under_18': {'total_votes': 97, 'rating': 8.6}, 'aged_30_44': {'total_votes': 18502, 'rating': 8.8}, 'aged_over_45': {'total_votes': 5569, 'rating': 8.7}, 'all_votes': {'total_votes': 50013, 'rating': 8.9}}, 'votes_per_ratings': {'3': 987, '2': 805, '8': 61877, '4': 1377, '7': 19201, '5': 2735, '6': 6010, '1': 4515, '10': 151616, '9': 137571}, 'all_genders': {'aged_18_29': {'total_votes': 133555, 'rating': 9.0}, 'aged_under_18': {'total_votes': 836, 'rating': 9.1}, 'aged_30_44': {'total_votes': 109437, 'rating': 8.8}, 'aged_over_45': {'total_votes': 24976, 'rating': 8.7}, 'all_votes': {'total_votes': 386694, 'rating': 8.9}}, 'males': {'aged_18_29': {'total_votes': 110879, 'rating': 9.1}, 'aged_under_18': {'total_votes': 732, 'rating': 9.1}, 'aged_30_44': {'total_votes': 89228, 'rating': 8.8}, 'aged_over_45': {'total_votes': 18957, 'rating': 8.7}, 'all_votes': {'total_votes': 242832, 'rating': 8.9}}, 'rating_page_link': 'http://www.imdb.com/title/tt1856010/ratings?ref_=tt_ov_rt'}","['English']"
57,"Rome","A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.",2,"8.8","2005–2007","1h 30min",6,22,1,"http://www.imdb.com/title/tt0384766/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_52","2017-12-20 12:50:29.444184",128067,"{'total_votes': 128067, 'females': {'aged_18_29': {'total_votes': 5619, 'rating': 8.7}, 'aged_under_18': {'total_votes': 10, 'rating': 8.3}, 'aged_30_44': {'total_votes': 7973, 'rating': 8.8}, 'aged_over_45': {'total_votes': 2494, 'rating': 8.8}, 'all_votes': {'total_votes': 16799, 'rating': 8.8}}, 'votes_per_ratings': {'3': 455, '2': 549, '8': 22259, '4': 691, '7': 8249, '5': 1358, '6': 2807, '1': 3771, '10': 48190, '9': 39738}, 'all_genders': {'aged_18_29': {'total_votes': 35229, 'rating': 8.8}, 'aged_under_18': {'total_votes': 68, 'rating': 8.1}, 'aged_30_44': {'total_votes': 53424, 'rating': 8.8}, 'aged_over_45': {'total_votes': 13336, 'rating': 8.8}, 'all_votes': {'total_votes': 128067, 'rating': 8.8}}, 'males': {'aged_18_29': {'total_votes': 29328, 'rating': 8.8}, 'aged_under_18': {'total_votes': 57, 'rating': 8.0}, 'aged_30_44': {'total_votes': 44901, 'rating': 8.8}, 'aged_over_45': {'total_votes': 10658, 'rating': 8.8}, 'all_votes': {'total_votes': 88537, 'rating': 8.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt0384766/ratings?ref_=tt_ov_rt'}","['English']"
59,"Twin Peaks","An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.",2,"8.9","1990–1991","47min",5,30,1,"http://www.imdb.com/title/tt0098936/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_44","2017-12-20 14:07:52.274492",136125,"{'total_votes': 136125, 'females': {'all_votes': {'total_votes': 24839, 'rating': 8.9}, 'aged_18_29': {'total_votes': 9876, 'rating': 8.9}, 'aged_under_18': {'total_votes': 55, 'rating': 8.9}, 'aged_30_44': {'total_votes': 11086, 'rating': 8.9}, 'aged_over_45': {'total_votes': 2703, 'rating': 8.4}}, 'rating_page_link': 'http://www.imdb.com/title/tt0098936/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 136125, 'rating': 8.9}, 'aged_18_29': {'total_votes': 39030, 'rating': 8.9}, 'aged_under_18': {'total_votes': 269, 'rating': 9.1}, 'aged_30_44': {'total_votes': 55379, 'rating': 8.9}, 'aged_over_45': {'total_votes': 13526, 'rating': 8.6}}, 'males': {'all_votes': {'total_votes': 86673, 'rating': 8.9}, 'aged_18_29': {'total_votes': 28744, 'rating': 8.9}, 'aged_under_18': {'total_votes': 210, 'rating': 9.1}, 'aged_30_44': {'total_votes': 43624, 'rating': 8.9}, 'aged_over_45': {'total_votes': 10593, 'rating': 8.6}}, 'votes_per_ratings': {'5': 1719, '8': 20501, '4': 935, '7': 8601, '1': 5503, '2': 590, '6': 3381, '3': 652, '10': 57333, '9': 36910}}","['English', 'Icelandic', 'Afrikaans', 'Norwegian']"
58,"South Park","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",21,"8.7","1997–","22min",6,288,1,"http://www.imdb.com/title/tt0121955/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_56","2017-12-20 12:50:39.749636",273646,"{'total_votes': 273646, 'females': {'aged_18_29': {'total_votes': 17075, 'rating': 8.3}, 'aged_under_18': {'total_votes': 121, 'rating': 8.2}, 'aged_30_44': {'total_votes': 11526, 'rating': 8.1}, 'aged_over_45': {'total_votes': 1911, 'rating': 7.3}, 'all_votes': {'total_votes': 32138, 'rating': 8.2}}, 'votes_per_ratings': {'3': 1694, '2': 1681, '8': 41790, '4': 2268, '7': 19628, '5': 3873, '6': 7826, '1': 7985, '10': 118819, '9': 68082}, 'all_genders': {'aged_18_29': {'total_votes': 110935, 'rating': 8.9}, 'aged_under_18': {'total_votes': 995, 'rating': 8.8}, 'aged_30_44': {'total_votes': 88712, 'rating': 8.7}, 'aged_over_45': {'total_votes': 11771, 'rating': 8.0}, 'all_votes': {'total_votes': 273646, 'rating': 8.7}}, 'males': {'aged_18_29': {'total_votes': 92968, 'rating': 9.0}, 'aged_under_18': {'total_votes': 867, 'rating': 8.8}, 'aged_30_44': {'total_votes': 76341, 'rating': 8.8}, 'aged_over_45': {'total_votes': 9645, 'rating': 8.1}, 'all_votes': {'total_votes': 189181, 'rating': 8.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt0121955/ratings?ref_=tt_ov_rt'}","['English']"
60,"The Jinx: The Life and Deaths of Robert Durst",", the key suspect in a series of unsolved crimes.",1,"8.7","2015–","4h 39min",5,1,3,"http://www.imdb.com/title/tt4299972/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_60","2017-12-20 14:09:11.779088",27235,"{'total_votes': 27235, 'females': {'all_votes': {'total_votes': 4675, 'rating': 8.8}, 'aged_18_29': {'total_votes': 1870, 'rating': 8.9}, 'aged_under_18': {'total_votes': 5, 'rating': 8.6}, 'aged_30_44': {'total_votes': 1933, 'rating': 8.7}, 'aged_over_45': {'total_votes': 536, 'rating': 8.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt4299972/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 27235, 'rating': 8.7}, 'aged_18_29': {'total_votes': 8328, 'rating': 8.9}, 'aged_under_18': {'total_votes': 26, 'rating': 7.7}, 'aged_30_44': {'total_votes': 10241, 'rating': 8.7}, 'aged_over_45': {'total_votes': 1999, 'rating': 8.5}}, 'males': {'all_votes': {'total_votes': 16834, 'rating': 8.8}, 'aged_18_29': {'total_votes': 6347, 'rating': 8.9}, 'aged_under_18': {'total_votes': 21, 'rating': 7.5}, 'aged_30_44': {'total_votes': 8148, 'rating': 8.7}, 'aged_over_45': {'total_votes': 1418, 'rating': 8.4}}, 'votes_per_ratings': {'5': 161, '8': 6181, '4': 70, '7': 1894, '1': 677, '2': 43, '6': 455, '3': 33, '10': 7352, '9': 10369}}","['English']"
61,"The Marvelous Mrs. Maisel","A housewife in the 1950s decides to become a stand-up comic.",1,"9.0","2017–","57min",6,8,1,"http://www.imdb.com/title/tt5788792/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_62","2017-12-20 14:09:16.338166",5311,"{'total_votes': 5311, 'females': {'all_votes': {'total_votes': 1974, 'rating': 9.1}, 'aged_18_29': {'total_votes': 576, 'rating': 9.0}, 'aged_under_18': {'total_votes': 4, 'rating': 8.8}, 'aged_30_44': {'total_votes': 734, 'rating': 9.1}, 'aged_over_45': {'total_votes': 436, 'rating': 9.2}}, 'rating_page_link': 'http://www.imdb.com/title/tt5788792/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 5311, 'rating': 9.0}, 'aged_18_29': {'total_votes': 1092, 'rating': 9.0}, 'aged_under_18': {'total_votes': 5, 'rating': 7.8}, 'aged_30_44': {'total_votes': 1445, 'rating': 8.9}, 'aged_over_45': {'total_votes': 1009, 'rating': 9.0}}, 'males': {'all_votes': {'total_votes': 1898, 'rating': 8.8}, 'aged_18_29': {'total_votes': 492, 'rating': 9.0}, 'aged_under_18': {'total_votes': 1, 'rating': 10.0}, 'aged_30_44': {'total_votes': 683, 'rating': 8.6}, 'aged_over_45': {'total_votes': 560, 'rating': 8.9}}, 'votes_per_ratings': {'5': 32, '8': 659, '4': 14, '7': 149, '1': 75, '2': 23, '6': 47, '3': 17, '10': 2675, '9': 1620}}","['English']"
62,"The Return of Sherlock Holmes","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",2,"8.8","1986–1988","1h",4,11,1,"http://www.imdb.com/title/tt0090509/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_64","2017-12-20 14:09:24.675846",7278,"{'total_votes': 7278, 'females': {'all_votes': {'total_votes': 1356, 'rating': 8.9}, 'aged_18_29': {'total_votes': 399, 'rating': 8.9}, 'aged_under_18': {'total_votes': 2, 'rating': 9.5}, 'aged_30_44': {'total_votes': 580, 'rating': 8.9}, 'aged_over_45': {'total_votes': 309, 'rating': 8.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt0090509/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 7278, 'rating': 8.8}, 'aged_18_29': {'total_votes': 1598, 'rating': 8.8}, 'aged_under_18': {'total_votes': 23, 'rating': 8.3}, 'aged_30_44': {'total_votes': 2556, 'rating': 8.9}, 'aged_over_45': {'total_votes': 1380, 'rating': 8.8}}, 'males': {'all_votes': {'total_votes': 4385, 'rating': 8.8}, 'aged_18_29': {'total_votes': 1184, 'rating': 8.8}, 'aged_under_18': {'total_votes': 21, 'rating': 8.3}, 'aged_30_44': {'total_votes': 1943, 'rating': 8.9}, 'aged_over_45': {'total_votes': 1061, 'rating': 8.8}}, 'votes_per_ratings': {'5': 76, '8': 1410, '4': 34, '7': 464, '1': 275, '2': 21, '6': 145, '3': 27, '10': 2669, '9': 2157}}","['English']"
63,"Nathan for You","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",1,"8.8","TV Series (2013–","30min",5,1,3,"http://www.imdb.com/title/tt2297757/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_66","2017-12-20 14:09:32.540679",9524,"{'total_votes': 9524, 'females': {'all_votes': {'total_votes': 854, 'rating': 8.3}, 'aged_18_29': {'total_votes': 495, 'rating': 8.8}, 'aged_under_18': {'total_votes': 5, 'rating': 8.2}, 'aged_30_44': {'total_votes': 259, 'rating': 7.9}, 'aged_over_45': {'total_votes': 53, 'rating': 6.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt2297757/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 9524, 'rating': 8.8}, 'aged_18_29': {'total_votes': 3959, 'rating': 9.1}, 'aged_under_18': {'total_votes': 40, 'rating': 8.4}, 'aged_30_44': {'total_votes': 2371, 'rating': 8.5}, 'aged_over_45': {'total_votes': 391, 'rating': 7.0}}, 'males': {'all_votes': {'total_votes': 6290, 'rating': 8.8}, 'aged_18_29': {'total_votes': 3405, 'rating': 9.1}, 'aged_under_18': {'total_votes': 35, 'rating': 8.4}, 'aged_30_44': {'total_votes': 2088, 'rating': 8.6}, 'aged_over_45': {'total_votes': 330, 'rating': 7.0}}, 'votes_per_ratings': {'5': 115, '8': 1367, '4': 55, '7': 502, '1': 338, '2': 48, '6': 182, '3': 50, '10': 4376, '9': 2491}}","['English']"
64,"Chappelle's Show","Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.",3,"8.7","2003–2006","22min",6,33,1,"http://www.imdb.com/title/tt0353049/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_68","2017-12-20 14:09:36.460604",41406,"{'total_votes': 41406, 'females': {'all_votes': {'total_votes': 3459, 'rating': 8.3}, 'aged_18_29': {'total_votes': 1107, 'rating': 8.3}, 'aged_under_18': {'total_votes': 3, 'rating': 9.7}, 'aged_30_44': {'total_votes': 1726, 'rating': 8.4}, 'aged_over_45': {'total_votes': 451, 'rating': 7.9}}, 'rating_page_link': 'http://www.imdb.com/title/tt0353049/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 41406, 'rating': 8.7}, 'aged_18_29': {'total_votes': 12490, 'rating': 8.8}, 'aged_under_18': {'total_votes': 29, 'rating': 7.7}, 'aged_30_44': {'total_votes': 17159, 'rating': 8.8}, 'aged_over_45': {'total_votes': 2608, 'rating': 8.1}}, 'males': {'all_votes': {'total_votes': 29995, 'rating': 8.8}, 'aged_18_29': {'total_votes': 11295, 'rating': 8.9}, 'aged_under_18': {'total_votes': 26, 'rating': 7.4}, 'aged_30_44': {'total_votes': 15273, 'rating': 8.8}, 'aged_over_45': {'total_votes': 2124, 'rating': 8.1}}, 'votes_per_ratings': {'5': 508, '8': 7209, '4': 253, '7': 2970, '1': 1516, '2': 276, '6': 991, '3': 258, '10': 15993, '9': 11432}}","['English']"
65,"Steins;Gate","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",1,"8.8","2011–","24min",5,25,1,"http://www.imdb.com/title/tt1910272/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_70","2017-12-20 14:09:55.02479",24954,"{'total_votes': 24954, 'females': {'all_votes': {'total_votes': 1781, 'rating': 8.6}, 'aged_18_29': {'total_votes': 1201, 'rating': 8.7}, 'aged_under_18': {'total_votes': 41, 'rating': 9.1}, 'aged_30_44': {'total_votes': 317, 'rating': 8.0}, 'aged_over_45': {'total_votes': 63, 'rating': 8.0}}, 'rating_page_link': 'http://www.imdb.com/title/tt1910272/ratings?ref_=tt_ov_rt', 'all_genders': {'all_votes': {'total_votes': 24954, 'rating': 8.8}, 'aged_18_29': {'total_votes': 12315, 'rating': 9.0}, 'aged_under_18': {'total_votes': 207, 'rating': 8.9}, 'aged_30_44': {'total_votes': 3481, 'rating': 8.4}, 'aged_over_45': {'total_votes': 490, 'rating': 7.6}}, 'males': {'all_votes': {'total_votes': 16038, 'rating': 8.8}, 'aged_18_29': {'total_votes': 11014, 'rating': 9.0}, 'aged_under_18': {'total_votes': 163, 'rating': 8.9}, 'aged_30_44': {'total_votes': 3122, 'rating': 8.4}, 'aged_over_45': {'total_votes': 416, 'rating': 7.6}}, 'votes_per_ratings': {'5': 296, '8': 3577, '4': 141, '7': 1425, '1': 704, '2': 137, '6': 545, '3': 156, '10': 10882, '9': 7091}}","['Japanese', 'English']"
